car_399|tid_633|DE Altenforst U	car_399	Nordlicht Racing Team - Hochschule Altenforst
car_343|tid_2271|AT Daxstein TU	car_343	Bergkamm Racing Team - Technische Hochschule Daxstein
car_313|tid_561|CH Birchwald UAS	car_313	Sturmvogel Racing Team - Universität Birchwald
car_311|tid_1845|IT Castelvetro TH	car_311	Eisenwurf Motorsport e.V. - Università degli Studi di Castelvetro
car_293|tid_1607|FR Beaulieu-sur-Onde HS	car_293	Silberlauf Motorsport e.V. - École Supérieure de Beaulieu-sur-Onde
car_279|tid_2249|ES Vega Oscura IT	car_279	Donnerroll Motorsport e.V. - Universidad de Vega Oscura
car_267|tid_881|PT Serra Branca U	car_267	Windfang Formula Student - Instituto Superior de Serra Branca
car_250|tid_1185|NL Oostmolen TU	car_250	Steinadler Formula Student - Technische Universiteit Oostmolen
car_248|tid_1675|BE Groenveld UAS	car_248	Feuerrad Formula Student - Universiteit Groenveld
car_240|tid_613|PL Nowy Brzeg TH	car_240	Nebelkraft Renngemeinschaft - Politechnika Nowy Brzeg
car_227|tid_1429|CZ Skalná HS	car_227	Gletscherblitz Renngemeinschaft - Vysoké učení technické v Skalná
car_218|tid_1851|SE Sjövik IT	car_218	Moorgeist Renngemeinschaft - Sjövik Tekniska Högskola
car_205|tid_745|FI Järvenperä U	car_205	Felsenantreiber Race Engineering - Järvenperä Yliopisto
car_191|tid_1451|GR Petrókastro TU	car_191	Sonnwend Race Engineering - Pánepistimo Petrókastro
car_185|tid_1517|HU Fenyveshegy UAS	car_185	Kettenwerk Race Engineering - Fenyveshegy Műszaki Egyetem
car_176|tid_953|EE Metsaküla TH	car_176	Düsenjäger Racing Team - Metsaküla Tehnikaülikool
car_172|tid_2449|GB Ashcombe Vale HS	car_172	Grauwolf Racing Team - University of Ashcombe Vale
car_171|tid_1295|NO Fjordheim IT	car_171	Hochsinn Racing Team - Fjordheim Universitet
car_161|tid_823|DK Birkholm U	car_161	Tiefsee Motorsport e.V. - Birkholm Universitet
car_160|tid_2617|IE Dunshall TU	car_160	Blitzanker Motorsport e.V. - University of Dunshall
car_157|tid_2263|DE Bergmoor UAS	car_157	Nordlicht Motorsport e.V. - Hochschule Bergmoor
car_154|tid_831|AT Daxstein TH	car_154	Bergkamm Formula Student - Technische Hochschule Daxstein
car_150|tid_3001|CH Birchwald HS	car_150	Sturmvogel Formula Student - Universität Birchwald
car_149|tid_649|IT Montefiora IT	car_149	Eisenwurf Formula Student - Università degli Studi di Montefiora
car_148|tid_857|FR Beaulieu-sur-Onde U	car_148	Silberlauf Renngemeinschaft - École Supérieure de Beaulieu-sur-Onde
car_146|tid_989|ES Peñarrubia Nueva TU	car_146	Donnerroll Renngemeinschaft - Universidad de Peñarrubia Nueva
car_143|tid_619|PT Serra Branca UAS	car_143	Windfang Renngemeinschaft - Instituto Superior de Serra Branca
car_141|tid_1269|NL Oostmolen TH	car_141	Steinadler Race Engineering - Technische Universiteit Oostmolen
car_137|tid_869|BE Groenveld HS	car_137	Feuerrad Race Engineering - Universiteit Groenveld
car_135|tid_787|PL Nowy Brzeg IT	car_135	Nebelkraft Race Engineering - Politechnika Nowy Brzeg
car_134|tid_785|CZ Skalná U	car_134	Gletscherblitz Racing Team - Vysoké učení technické v Skalná
car_124|tid_1349|SE Sjövik TU	car_124	Moorgeist Racing Team - Sjövik Tekniska Högskola
